name,initial_altitude,inclination,initial_latitude,initial_longitude,sat_type
1,558.999999999999,43,42.737652,-71.68378,LEO
2,559,43,41.0995765210828,-44.6435125577983,LEO
3,559,43,33.2087757365568,-21.332361833065,LEO
4,559.000000000001,43,21.3680492526451,-2.96211294521146,LEO
5,559,43,7.58654018320818,12.2255966680785,LEO
6,559.000000000001,43,-6.78046879487156,26.3543525232637,LEO
7,559.000000000002,43,-20.6266256793752,41.4273931547522,LEO
8,558.999999999999,43,-32.6232278629575,59.5605624793507,LEO
9,559,43,-40.801932593384,82.5802794196372,LEO
10,559,43,-42.8359975557269,109.530096594662,LEO
11,559,43,-37.9462836676436,135.24717899671,LEO
12,559,43,-27.8556542077477,156.058683240967,LEO
13,559,43,-14.8762368805534,172.622603433335,LEO
14,558.999999999999,43,-0.669918891027394,-172.95343690287,LEO
15,559,43,13.5869253865597,-158.621925579077,LEO
16,558.999999999999,43,26.7398149046356,-142.348357183858,LEO
17,559,43,37.1892408776015,-122.004454445725,LEO
18,559,43,42.737652,-84.48378,LEO
19,559,43,41.0995765210828,-57.4435125577983,LEO
20,559,43,33.2087757365568,-34.1323618330649,LEO
21,559,43,21.3680492526451,-15.7621129452115,LEO
22,559,43,7.58654018320818,-0.574403331921486,LEO
23,559.000000000001,43,-6.78046879487156,13.5543525232637,LEO
24,559,43,-20.6266256793752,28.6273931547523,LEO
25,559,43,-32.6232278629575,46.7605624793507,LEO
26,559,43,-40.801932593384,69.7802794196372,LEO
27,559,43,-42.8359975557269,96.7300965946616,LEO
28,558.999999999998,43,-37.9462836676436,122.44717899671,LEO
29,559,43,-27.8556542077477,143.258683240967,LEO
30,559,43,-14.8762368805534,159.822603433335,LEO
31,558.999999999998,43,-0.669918891027394,174.24656309713,LEO
32,559,43,13.5869253865597,-171.421925579077,LEO
33,558.999999999999,43,26.7398149046356,-155.148357183858,LEO
34,559,43,37.1892408776015,-134.804454445725,LEO
35,559,43,42.737652,-97.28378,LEO
36,559,43,41.0995765210828,-70.2435125577984,LEO
37,558.999999999999,43,33.2087757365568,-46.932361833065,LEO
38,559,43,21.3680492526451,-28.5621129452115,LEO
39,559.000000000001,43,7.58654018320818,-13.3744033319215,LEO
40,559,43,-6.78046879487156,0.754352523263646,LEO
41,559.000000000002,43,-20.6266256793752,15.8273931547522,LEO
42,558.999999999999,43,-32.6232278629575,33.9605624793507,LEO
43,559,43,-40.801932593384,56.9802794196371,LEO
44,559,43,-42.8359975557269,83.9300965946616,LEO
45,558.999999999998,43,-37.9462836676436,109.64717899671,LEO
46,559,43,-27.8556542077477,130.458683240967,LEO
47,559,43,-14.8762368805534,147.022603433335,LEO
48,558.999999999999,43,-0.669918891027394,161.44656309713,LEO
49,559,43,13.5869253865597,175.778074420923,LEO
50,558.999999999999,43,26.7398149046356,-167.948357183858,LEO
51,559,43,37.1892408776015,-147.604454445725,LEO
52,547.000000000002,53,42.279594,-73.732124,LEO
53,547,53,51.5192918729039,-46.9487074625866,LEO
54,547,53,51.9123170167161,-13.841864408551,LEO
55,547.000000000001,53,43.2296583465289,13.6908611835747,LEO
56,547.000000000001,53,29.3534141686422,32.3105263327388,LEO
57,547,53,13.2501604339601,45.7564627107236,LEO
58,547.000000000001,53,-3.59893233122183,57.2857505749688,LEO
59,547,53,-20.2588310692387,69.3099494672158,LEO
60,547,53,-35.6579372378551,84.4807096550901,LEO
61,546.999999999999,53,-47.8019549996614,106.558199484843,LEO
62,546.999999999998,53,-52.9935272885136,137.694925552095,LEO
63,547,53,-48.4484958739919,169.296037788701,LEO
64,547,53,-36.6547118139151,-167.986992556236,LEO
65,546.999999999999,53,-21.4028645971077,-152.46592767997,LEO
66,547,53,-4.79128736595962,-140.316274729204,LEO
67,546.999999999998,53,12.073219929904,-128.827570465188,LEO
68,546.999999999999,53,28.266647238975,-115.608460880485,LEO
69,547.000000000001,53,42.279594,-78.732124,LEO
70,547.000000000001,53,51.5192918729039,-51.9487074625866,LEO
71,547,53,51.9123170167161,-18.841864408551,LEO
72,547.000000000001,53,43.2296583465289,8.69086118357469,LEO
73,547.000000000001,53,29.3534141686422,27.3105263327388,LEO
74,547,53,13.2501604339601,40.7564627107236,LEO
75,547.000000000001,53,-3.59893233122183,52.2857505749688,LEO
76,546.999999999999,53,-20.2588310692387,64.3099494672158,LEO
77,547,53,-35.6579372378551,79.4807096550901,LEO
78,546.999999999999,53,-47.8019549996614,101.558199484843,LEO
79,546.999999999998,53,-52.9935272885136,132.694925552095,LEO
80,546.999999999998,53,-48.4484958739919,164.296037788701,LEO
81,547,53,-36.6547118139151,-172.986992556236,LEO
82,547.000000000001,53,-21.4028645971077,-157.46592767997,LEO
83,547,53,-4.79128736595962,-145.316274729204,LEO
84,546.999999999998,53,12.073219929904,-133.827570465188,LEO
85,546.999999999999,53,28.266647238975,-120.608460880485,LEO
86,547.000000000002,53,42.279594,-83.732124,LEO
87,547.000000000001,53,51.5192918729039,-56.9487074625867,LEO
88,547,53,51.9123170167161,-23.841864408551,LEO
89,547.000000000001,53,43.2296583465289,3.69086118357466,LEO
90,547.000000000001,53,29.3534141686422,22.3105263327387,LEO
91,547,53,13.2501604339601,35.7564627107236,LEO
92,547.000000000001,53,-3.59893233122183,47.2857505749688,LEO
93,547,53,-20.2588310692387,59.3099494672158,LEO
94,547,53,-35.6579372378551,74.4807096550901,LEO
95,546.999999999999,53,-47.8019549996614,96.5581994848431,LEO
96,546.999999999998,53,-52.9935272885136,127.694925552095,LEO
97,546.999999999998,53,-48.4484958739919,159.296037788701,LEO
98,547,53,-36.6547118139151,-177.986992556236,LEO
99,546.999999999999,53,-21.4028645971077,-162.46592767997,LEO
100,547,53,-4.79128736595962,-150.316274729204,LEO
101,546.999999999998,53,12.073219929904,-138.827570465188,LEO
102,546.999999999999,53,28.266647238975,-125.608460880485,LEO
103,547.000000000002,53,42.279594,-88.732124,LEO
104,547.000000000001,53,51.5192918729039,-61.9487074625867,LEO
105,547,53,51.9123170167161,-28.841864408551,LEO
106,547.000000000001,53,43.2296583465289,-1.30913881642533,LEO
107,547.000000000001,53,29.3534141686422,17.3105263327387,LEO
108,547.000000000001,53,13.2501604339601,30.7564627107236,LEO
109,547.000000000001,53,-3.59893233122183,42.2857505749688,LEO
110,547,53,-20.2588310692387,54.3099494672158,LEO
111,547,53,-35.6579372378551,69.4807096550901,LEO
112,546.999999999999,53,-47.8019549996614,91.5581994848431,LEO
113,546.999999999998,53,-52.9935272885136,122.694925552095,LEO
114,547,53,-48.4484958739919,154.296037788701,LEO
115,547,53,-36.6547118139151,177.013007443764,LEO
116,546.999999999999,53,-21.4028645971077,-167.46592767997,LEO
117,547,53,-4.79128736595962,-155.316274729204,LEO
118,546.999999999997,53,12.073219929904,-143.827570465188,LEO
119,546.999999999999,53,28.266647238975,-130.608460880485,LEO
120,547.000000000002,53,42.279594,-93.732124,LEO
121,547.000000000001,53,51.5192918729039,-66.9487074625867,LEO
122,547,53,51.9123170167161,-33.841864408551,LEO
123,547.000000000001,53,43.2296583465289,-6.30913881642532,LEO
124,547.000000000001,53,29.3534141686422,12.3105263327388,LEO
125,547.000000000001,53,13.2501604339601,25.7564627107236,LEO
126,547.000000000001,53,-3.59893233122183,37.2857505749688,LEO
127,547,53,-20.2588310692387,49.3099494672158,LEO
128,547,53,-35.6579372378551,64.4807096550902,LEO
129,546.999999999999,53,-47.8019549996614,86.5581994848431,LEO
130,546.999999999998,53,-52.9935272885136,117.694925552095,LEO
131,546.999999999998,53,-48.4484958739919,149.296037788701,LEO
132,547,53,-36.6547118139151,172.013007443764,LEO
133,546.999999999999,53,-21.4028645971077,-172.46592767997,LEO
134,546.999999999999,53,-4.79128736595962,-160.316274729204,LEO
135,546.999999999998,53,12.073219929904,-148.827570465188,LEO
136,546.999999999999,53,28.266647238975,-135.608460880485,LEO
137,572.000000000001,70,44.7631,-85.6206,LEO
138,571.999999999999,70,61.7390352579451,-65.5734010766438,LEO
139,572.000000000003,70,69.9889390368045,-17.6111190122346,LEO
140,572,70,60.7843796342782,28.3910997403437,LEO
141,572,70,43.5688925403479,47.3306499277953,LEO
142,571.999999999998,70,24.4241104671461,56.6653658700675,LEO
143,572,70,4.72939839534795,63.0458316235304,LEO
144,572,70,-15.0471933479895,68.9785602247563,LEO
145,572.000000000001,70,-34.5384126425027,76.4629968792538,LEO
146,571.999999999999,70,-52.9850691737526,89.4120421013004,LEO
147,572,70,-67.4002037634964,120.112315756005,LEO
148,571.999999999999,70,-67.5894507708149,175.774103179185,LEO
149,572,70,-53.3313373201008,-152.942469443016,LEO
150,572.000000000001,70,-34.9217515245484,-139.805844563702,LEO
151,572.000000000001,70,-15.4413956554919,-132.2628268238,LEO
152,572,70,4.33340723802202,-126.32029486564,LEO
153,572.000000000001,70,24.033304820947,-119.968124886919,LEO
154,560,97.6,45.745312,-87.070457,LEO
155,560.000000000001,97.6,66.2156636932194,-98.2299910220614,LEO
156,560,97.6,82.2584337882968,-160.975771274161,LEO
157,559.999999999999,97.6,68.9872354099009,116.902687366741,LEO
158,560,97.6,48.6448505993924,103.887370901082,LEO
159,559.999999999999,97.6,27.830169228274,97.7998119044318,LEO
160,560.000000000001,97.6,6.91051540096647,93.2792130110618,LEO
161,559.999999999999,97.6,-14.0275431231548,89.0342602726137,LEO
162,560,97.6,-34.9256041171297,84.1906079436918,LEO
163,559.999999999999,97.6,-55.6570581580039,76.8672464191615,LEO
164,559.999999999995,97.6,-75.4312931059162,55.8307186327955,LEO
165,559.999999999997,97.6,-78.4968610439012,-53.7193948553163,LEO
166,560,97.6,-59.3452071203091,-83.0853126556859,LEO
167,560.000000000001,97.6,-38.6788945414549,-91.3716855439297,LEO
168,560,97.6,-17.796980648533,-96.4566733003891,LEO
169,560.000000000001,97.6,3.13860349594087,-100.738700142068,LEO
170,560,97.6,24.0659705352044,-105.143811058857,LEO
171,35786,0,0,0,GEO
